ark // 225;
BAG IN BOX // 204;
BAKKE // 374;
BLAD // 021;
BOX // 203;
Bundpalle Salico // 925;
BUNDT // 025;
BUNDT // 370;
CENTIMETER // 741;
DOLLY // 903;
DUNK // 376;
DÅSE // 371;
ENGANGSPALLE // 904;
EUROPALLE // 901;
FLASKE // 369;
GLAS // 373;
GRAM // 700;
HALVPALLE // 907;
KAGE // 378;
KARTON // 377;
KASSE // 363;
KILOGRAM // 701;
LAG // 602;
LITER // 721;
MEGA-BIB // 919;
MELLEMLÆGSPALLE // 400;
METER // 742;
MILLIMETER // 740;
PAKKER // 743;
PAR // 362;
POSE // 366;
RULLE // 367;
RULLEBUR // 908;
RØR // 606;
SAMLECOLLI // 914;
SKIVER // 361;
Småtingskasse // 924;
SPAND // 372;
STAK // 026;
STANG // 375;
STYK // 364;
STÆNGER // 028;
SÆK // 024;
SÆT // 368;
TUBE // 365;
ÆSKE // 017;